ID_REF,GSM001,GSM002,GSM003,GSM004,GSM005,GSM006,GSM007,GSM008,GSM009,GSM010,GSM011
gene1,4.896316962,6.769569746,4.947662316,6.975377858,7.193771483,5.642529732,6.306117506,6.808014921,6.504988155,6.339988084,7.303881395
gene2,5.737001506,7.298869005,5.9585118,7.809232062,7.786353623,6.123355037,7.153343054,7.486500617,7.217458366,6.557040974,8.036112266
gene3,8.060699481,8.977548479,7.450240743,8.300615616,5.932357145,6.232414852,8.467106407,6.779977529,7.311215319,6.098362263,8.29488121
gene4,7.186361861,7.985369477,7.46041619,8.516181931,8.047163,7.868978749,6.948663588,5.99819877,7.292410035,7.290662283,7.994730111
gene5,10.03887063,10.84962969,11.25817199,11.3719319,11.2188058,11.01755714,10.72471692,10.432008,11.75715436,11.48518718,11.72316048
gene6,8.380451786,7.740587509,10.41654904,10.31320067,9.048371048,9.099232841,8.387902931,9.11962045,9.071619747,8.796035854,9.07125227
gene7,1.523099942,1.704499273,1.816513982,2.166356119,1.887329179,2.188352879,1.719510526,2.117982908,1.769241872,2.058935278,2.065910692
gene8,10.19640236,8.873895492,10.48240687,10.28721603,9.943223629,9.327296151,10.10734343,9.196960762,10.42197893,9.514878535,10.2330817
gene9,6.67412643,6.700905551,6.294758632,5.842217276,5.343528983,6.616245437,6.885135927,6.30634624,6.471232103,6.666372145,6.638754128
gene10,8.479170731,8.780995732,9.91674517,9.895672582,8.422176019,9.411595205,9.764743953,10.56039151,9.011193292,10.14780893,10.16812164
gene11,8.507250301,7.241229722,7.658447555,7.942129218,8.506665461,8.622324931,7.724893405,6.816756061,7.194292932,6.595545814,7.614387346
gene12,4.585991418,4.531262051,3.292918102,4.381790344,5.818784805,5.478111448,5.734835174,4.725251743,4.184841921,4.509141443,5.549219941
gene13,11.69354582,12.14113173,11.74453555,11.5329879,11.23961487,12.74760483,11.88490338,12.34766731,11.69974294,12.29268403,12.68021782
gene14,7.314668294,7.294340237,7.032246037,7.88850667,6.541288068,8.613986273,8.414777537,8.185310067,7.915038842,7.813462556,9.125559922
gene15,9.60745301,8.337283039,9.861925185,9.249688305,9.042465828,8.30654431,9.787512245,9.410077362,8.956872837,8.757123036,9.276718591
gene16,11.96540889,13.06730707,13.27347442,13.60989822,12.76048725,13.24767696,12.4067239,13.07666598,13.15023466,13.2060888,12.29954408
gene17,9.245600632,10.5899912,8.475689525,10.03309622,9.575971889,9.658186595,9.259397094,11.27632726,10.06242485,11.29937046,9.689085664
gene18,7.713828149,7.943253274,8.253954129,8.089157922,8.744543204,9.673515957,8.614648901,8.821881915,8.477750795,9.124957969,9.131409932
gene19,9.883182805,10.22492548,9.419606753,9.998825312,11.30412194,10.89686311,10.13631252,10.50751419,9.662274013,9.94278999,9.708025214
gene20,9.914883188,10.1387182,9.223237098,9.85023663,11.20556329,10.93420159,9.916420717,10.2126075,9.181673229,9.491201228,9.629626174
gene21,5.237574514,3.776054777,6.171606136,5.401830333,4.945378053,6.316782644,3.211320656,4.575156298,4.183401664,5.96150574,6.616047676
gene22,8.315500472,5.851013729,8.465390806,7.455984252,7.739223446,8.507250301,6.069177649,6.779421472,7.660138644,9.041016299,8.98605629
gene23,8.409257024,8.22651691,5.234722724,10.36783563,10.84028523,7.485983827,10.6048102,10.02302447,8.077161342,9.089234474,8.79327403
gene24,1.233833843,1.369546268,1.406134764,4.151544666,4.482478481,1.329344809,4.519865879,4.438009171,2.702632839,3.761538158,3.167581863
gene25,4.587249189,4.456841074,2.414703225,6.715073295,7.571783499,4.268447016,7.133996223,6.586917853,4.699743882,5.64861691,5.010031525
gene26,1.88151535,6.638160422,2.881005002,4.152412909,3.376059585,8.254465449,7.07817425,8.164037249,5.693516864,7.933787273,7.430664105
gene27,8.639857817,10.08252081,9.605825746,9.352914353,8.500976684,8.446670965,9.741663582,10.14141656,9.12028534,10.40231919,10.80374953
